top - 00:04:26 up  1:26,  1 user,  load average: 0.01, 0.09, 0.15
Tasks: 316 total,   1 running, 315 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    202.3 free,   2134.5 used,   1715.4 buff/cache     
MiB Swap:   3771.0 total,   3770.5 free,      0.5 used.   1733.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    323 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    371 root      19  -1   83636  24140  22604 S   0.0   0.6   0:00.97 systemd+
    421 root      20   0   32180  10232   4984 S   0.0   0.3   0:00.54 systemd+
    472 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    576 systemd+  20   0   17560   7716   6820 S   0.0   0.2   0:01.67 systemd+
    581 systemd+  20   0   21712  13128  10952 S   0.0   0.3   0:00.29 systemd+
    586 systemd+  20   0   91048   7904   7008 S   0.0   0.2   0:00.12 systemd+
    689 avahi     20   0    8672   4588   4204 S   0.0   0.1   0:00.09 avahi-d+
    690 message+  20   0   12228   7576   4760 S   0.0   0.2   0:00.89 dbus-da+
    694 gnome-r+  20   0  439076  16520  14088 S   0.0   0.4   0:00.18 gnome-r+
    697 polkitd   20   0  399440  12220   8356 S   0.0   0.3   0:00.84 polkitd
    699 root      20   0  322044   7460   6820 S   0.0   0.2   0:00.08 power-p+
    719 root      20   0 1850172  41736  26040 S   0.0   1.1   0:03.21 snapd
    724 root      20   0  321960   7744   6976 S   0.0   0.2   0:00.26 account+
    728 root      20   0   18092   2744   2616 S   0.0   0.1   0:00.04 cron
    732 root      20   0  318536   7024   6384 S   0.0   0.2   0:00.16 switche+
    747 root      20   0   18276   8836   7812 S   0.0   0.2   0:00.27 systemd+
    755 root      20   0  543220  14480  11664 S   0.0   0.4   0:00.34 udisksd
    798 syslog    20   0  222564   6396   4604 S   0.0   0.2   0:00.24 rsyslogd
    801 avahi     20   0    8480   1408   1152 S   0.0   0.0   0:00.00 avahi-d+
    813 root      20   0  344976  19164  16348 S   0.0   0.5   0:00.52 Network+
    816 root      20   0   17380   6148   5380 S   0.0   0.2   0:00.07 wpa_sup+
    825 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    831 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    837 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    860 root      20   0  392092  12880  10832 S   0.0   0.3   0:00.22 ModemMa+
    894 root     -51   0       0      0      0 S   0.0   0.0   0:00.90 irq/16-+
    895 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    915 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1245 root      20   0  120924  23072  13728 S   0.0   0.6   0:00.15 unatten+
   1284 kernoops  20   0   12744   2132   1728 S   0.0   0.1   0:00.00 kernelo+
   1305 kernoops  20   0   12744   2140   1732 S   0.0   0.1   0:00.00 kernelo+
   1319 root      20   0  323492   9172   8148 S   0.0   0.2   0:00.07 gdm3
   1355 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1400 rtkit     21   1   22940   3480   3224 S   0.0   0.1   0:00.12 rtkit-d+
   1508 colord    20   0  328736  14556  10080 S   0.0   0.4   0:00.26 colord
   1553 root      20   0  325232   9100   7564 S   0.0   0.2   0:00.11 upowerd
   1871 root      20   0  251252  10384   8976 S   0.0   0.3   0:00.03 gdm-ses+
   1884 dev-onb+  20   0   21148  12812   9728 S   0.0   0.3   0:00.85 systemd
